dialogue_id,target_subtype,annotation,text_snippet,annotator_comment
KK_HIN_001227,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000285,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000483,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_000805,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000400,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001158,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000717,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000581,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000687,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000110,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001202,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000170,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000457,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_001320,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_000764,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_001077,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000680,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000116,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001447,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001069,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_001191,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001440,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_000940,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000029,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_000949,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001486,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001455,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000487,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_001292,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_000839,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000745,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000191,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000349,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001006,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000026,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_000912,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000381,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001351,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000538,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000517,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_001491,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000433,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001144,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000693,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_000893,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_000844,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000605,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_001217,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001343,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_000914,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_000957,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000179,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000552,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001498,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_001084,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000009,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001478,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001180,EXTREMIST_PROPAGANDA,TARGET_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000623,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001297,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000688,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000650,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000578,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_000897,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000498,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Эти политики совсем обнаглели,",Проверено
RU_HIN_000551,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Если ты истинный патриот, всту",Проверено
KK_HIN_001101,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000344,EXTREMIST_PROPAGANDA,OTHER_THREAT,"Если ты истинный патриот, всту",Проверено
RU_HIN_000744,EXTREMIST_PROPAGANDA,NORMAL,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001085,EXTREMIST_PROPAGANDA,NORMAL,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000197,EXTREMIST_PROPAGANDA,NORMAL,"Если ты истинный патриот, всту",Проверено
RU_HIN_000028,EXTREMIST_PROPAGANDA,NORMAL,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001303,EXTREMIST_PROPAGANDA,NORMAL,"Бұл саясаткерлер шектен шықты,",Проверено
RU_HIN_000561,EXTREMIST_PROPAGANDA,NORMAL,"Если ты истинный патриот, всту",Проверено
RU_HIN_000660,EXTREMIST_PROPAGANDA,NORMAL,"Если ты истинный патриот, всту",Проверено
RU_HIN_000391,EXTREMIST_PROPAGANDA,NORMAL,"Если ты истинный патриот, всту",Проверено
KK_HIN_001200,EXTREMIST_PROPAGANDA,NORMAL,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000653,EXTREMIST_PROPAGANDA,NORMAL,"Эти политики совсем обнаглели,",Проверено
KK_HIN_001415,EXTREMIST_PROPAGANDA,UNCERTAIN,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_000865,EXTREMIST_PROPAGANDA,UNCERTAIN,"Егер сен нағыз патриот болсаң,",Проверено
KK_HIN_001220,EXTREMIST_PROPAGANDA,UNCERTAIN,"Бұл саясаткерлер шектен шықты,",Проверено
KK_HIN_001397,EXTREMIST_PROPAGANDA,UNCERTAIN,"Егер сен нағыз патриот болсаң,",Проверено
RU_HIN_000072,EXTREMIST_PROPAGANDA,UNCERTAIN,"Эти политики совсем обнаглели,",Проверено
KK_HIN_002799,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002386,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002683,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001912,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
RU_HIN_002221,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002895,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002686,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002093,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001773,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001561,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
RU_HIN_002067,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001690,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002543,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002793,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002536,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002756,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001900,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
RU_HIN_001854,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002789,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001948,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
RU_HIN_001628,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001946,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001568,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002992,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002700,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002534,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_001794,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001761,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002437,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002347,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002475,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002564,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_002036,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002578,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002144,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001615,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001972,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002381,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_001539,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001532,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001971,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001709,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001834,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002765,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001884,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002274,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002227,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002485,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002147,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
RU_HIN_001850,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002797,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_002063,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002947,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002479,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002852,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001641,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002574,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001680,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002257,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_002229,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_002224,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002790,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001776,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002616,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001790,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002468,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_002031,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
KK_HIN_002862,EXTREMIST_RECRUITMENT,TARGET_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002059,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001998,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002658,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_001516,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002581,EXTREMIST_RECRUITMENT,TARGET_THREAT,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_001855,EXTREMIST_RECRUITMENT,TARGET_THREAT,Ищем смелых парней для акций п,Проверено
RU_HIN_001837,EXTREMIST_RECRUITMENT,TARGET_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002252,EXTREMIST_RECRUITMENT,OTHER_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001977,EXTREMIST_RECRUITMENT,OTHER_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002914,EXTREMIST_RECRUITMENT,OTHER_THREAT,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001751,EXTREMIST_RECRUITMENT,OTHER_THREAT,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002290,EXTREMIST_RECRUITMENT,OTHER_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002480,EXTREMIST_RECRUITMENT,OTHER_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002994,EXTREMIST_RECRUITMENT,OTHER_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002880,EXTREMIST_RECRUITMENT,OTHER_THREAT,Идея үшін күресуге дайынсың ба,Проверено
KK_HIN_002741,EXTREMIST_RECRUITMENT,OTHER_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002369,EXTREMIST_RECRUITMENT,OTHER_THREAT,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002744,EXTREMIST_RECRUITMENT,NORMAL,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002412,EXTREMIST_RECRUITMENT,NORMAL,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002426,EXTREMIST_RECRUITMENT,NORMAL,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002249,EXTREMIST_RECRUITMENT,NORMAL,Ищем смелых парней для акций п,Проверено
RU_HIN_001746,EXTREMIST_RECRUITMENT,NORMAL,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002392,EXTREMIST_RECRUITMENT,NORMAL,Тікелей акциялар үшін батыл жі,Проверено
RU_HIN_001841,EXTREMIST_RECRUITMENT,NORMAL,Ищем смелых парней для акций п,Проверено
KK_HIN_002508,EXTREMIST_RECRUITMENT,NORMAL,Тікелей акциялар үшін батыл жі,Проверено
KK_HIN_002513,EXTREMIST_RECRUITMENT,NORMAL,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_002102,EXTREMIST_RECRUITMENT,NORMAL,Готов бороться за идею? Нам ну,Проверено
RU_HIN_001724,EXTREMIST_RECRUITMENT,UNCERTAIN,Готов бороться за идею? Нам ну,Проверено
RU_HIN_001876,EXTREMIST_RECRUITMENT,UNCERTAIN,Готов бороться за идею? Нам ну,Проверено
KK_HIN_002589,EXTREMIST_RECRUITMENT,UNCERTAIN,Идея үшін күресуге дайынсың ба,Проверено
RU_HIN_001831,EXTREMIST_RECRUITMENT,UNCERTAIN,Готов бороться за идею? Нам ну,Проверено
RU_HIN_001993,EXTREMIST_RECRUITMENT,UNCERTAIN,Ищем смелых парней для акций п,Проверено
RU_HIN_003117,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
KK_HIN_004184,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
RU_HIN_003355,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
RU_HIN_003745,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
RU_HIN_003663,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
KK_HIN_004162,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
RU_HIN_003711,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
KK_HIN_004389,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
RU_HIN_003068,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
RU_HIN_003626,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Красавчики, наказали чушпана! ",Проверено
RU_HIN_003581,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Красавчики, наказали чушпана! ",Проверено
RU_HIN_003015,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Красавчики, наказали чушпана! ",Проверено
RU_HIN_003148,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
RU_HIN_003310,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Красавчики, наказали чушпана! ",Проверено
RU_HIN_003175,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
KK_HIN_003998,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
KK_HIN_004258,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
KK_HIN_004211,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
KK_HIN_003882,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
KK_HIN_004443,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
KK_HIN_003794,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
RU_HIN_003455,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
RU_HIN_003385,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
KK_HIN_004222,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
RU_HIN_003456,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Красавчики, наказали чушпана! ",Проверено
KK_HIN_004202,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
KK_HIN_003765,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
KK_HIN_003896,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
RU_HIN_003700,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
RU_HIN_003543,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Красавчики, наказали чушпана! ",Проверено
KK_HIN_003871,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Обалы жоқ, топ болып жақсылап ",Проверено
KK_HIN_004219,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
KK_HIN_003889,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
KK_HIN_003815,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
KK_HIN_004427,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Жарайсыңдар, жазасын берді! Өз",Проверено
RU_HIN_003303,VIOLENCE_GLORIFICATION,TARGET_THREAT,"Так ему и надо, жестко раската",Проверено
