source_id,source_name,platform,url,description,review_status,review_comment
SRC_000027,Радикальный ислам новости,Discord,https://discord.gg/304060,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000028,Скрытая правда,VKontakte,https://vk.com/скрытая_правда3682,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000029,Радикальный ислам новости,Telegram,https://t.me/радикальный_ислам_новости_79,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000030,Работа закладки,Telegram,https://t.me/работа_закладки_61,Открытый источник: Работа/Заработок,APPROVED,Valid OSINT source
SRC_000031,Синий Кит возвращение,WhatsApp,https://chat.whatsapp.com/invite_851,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000032,Тихий двор,VKontakte,https://vk.com/тихий_двор8891,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000033,Братья по вере,WhatsApp,https://chat.whatsapp.com/invite_943,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000034,Радикальный ислам новости,WhatsApp,https://chat.whatsapp.com/invite_443,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000035,Шрамы - это красиво,Telegram,https://t.me/шрамы__это_красиво_80,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000036,Радикальный ислам новости,Discord,https://discord.gg/931480,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000037,Курьеры КЗ,Telegram,https://t.me/курьеры_кз_25,Открытый источник: Работа/Заработок,APPROVED,Valid OSINT source
SRC_000038,Исламские лекции (неофиц),Discord,https://discord.gg/833927,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000039,Колумбайн архивы,Telegram,https://t.me/колумбайн_архивы_15,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
SRC_000040,Исламские лекции (неофиц),Discord,https://discord.gg/815030,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000041,Призыв к истине,WhatsApp,https://chat.whatsapp.com/invite_565,Открытый источник: Радикальные/Религиозные,APPROVED,Valid OSINT source
SRC_000042,Секреты Алматы,WhatsApp,https://chat.whatsapp.com/invite_979,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000043,AnonChat KZ,VKontakte,https://vk.com/anonchat_kz3204,Открытый источник: Анонимное общение,APPROVED,Valid OSINT source
SRC_000044,Эстетика крови,Telegram,https://t.me/эстетика_крови_69,Открытый источник: Деструктивные группы,APPROVED,Valid OSINT source
